5,16
5.5,23.2
6,22.6
6.5,25.8
7,30
7.5,37.4
8,43.6
8.5,49.4
9,60.6
9.5,62.8
10,99.4
10.5,179.8
11,216.6
11.5,236.4
12,270.6
12.5,287.4
13,303.6
13.5,317.4
14,308.2
14.5,342.6
15,329.6
15.5,321.4
16,318.4
16.5,293.8
17,273
17.5,261.4
18,228.8
18.5,206.4
19,195
19.5,183.2
20,169.8
20.5,161
21,147.2
21.5,154.6
22,134.4
22.5,125.2
23,135.4
23.5,130.2
24,130.8
24.5,139.6
25,140.8
25.5,141.4
26,139.4
26.5,176.9
27,252.4
27.5,305.2
28,339.2
28.5,363.4
29,371.6
29.5,389.4
30,404.2
30.5,426.9
31,424.9
31.5,426.9
32,439.1
32.5,444.3
33,435.7
33.5,429.6
34,405.3
34.5,391.3
35,382
35.5,361.3
36,344.1
36.5,344.7
37,326.8
37.5,313.1
38,288.9
38.5,273.3
39,270.9
39.5,259.9
40,238.2
40.5,246.6
41,242.8
41.5,242.2
42,235.4
42.5,233.8
43,247.2
43.5,338.2
44,376.6
44.5,405.8
45,414.5
45.5,443.6
46,468.9
46.5,482.5
47,492.9
47.5,500.7
48,512.2
48.5,524.6
49,530.2
49.5,535.4
50,526
50.5,531.8
51,518.3
51.5,511.2
52,499.5
52.5,491.3
53,470.9
53.5,461.7
54,467.2
54.5,432.9
55,450.6
55.5,414.9
56,408.2
56.5,383.7
57,389.4
57.5,374.5
58,362.5
58.5,385.1
59,353.5
59.5,386.5
60,453.5
60.5,491.2
61,517.7
61.5,520.2
62,539.5
62.5,557.4
63,551.8
63.5,572.2
64,567.2
64.5,595.5
65,623.6
65.5,640.3
66,649
66.5,638.4
67,652.1
67.5,642.8
68,646.8
68.5,635.4
69,638
69.5,634.2
