1,2.2
1.5,4.2
2,5.2
2.5,5.6
3,7.8
3.5,8
4,9
4.5,10.6
5,13.2
5.5,15.6
6,14.6
6.5,14
7,19.2
7.5,19.6
8,30.6
8.5,71.4
9,159.2
9.5,173.6
10,147.4
10.5,135.4
11,102.4
11.5,81.6
12,59.4
12.5,47.8
13,42.2
13.5,36.4
14,30.8
14.5,30
15,32.8
15.5,30.6
16,33.6
16.5,30
17,32.4
17.5,32
18,35.6
18.5,41.4
19,36.6
19.5,45.8
20,91.8
20.5,208.4
21,241.4
21.5,250
22,262.4
22.5,252.2
23,226.8
23.5,187.4
24,166.6
24.5,143.8
25,120
25.5,98.8
26,83.4
26.5,76.2
27,70.6
27.5,51.8
28,55.6
28.5,48
29,48.7
29.5,45.8
30,40.4
30.5,48.6
31,54.6
31.5,101
32,214.9
32.5,284.4
33,307.6
33.5,318
34,317.4
34.5,321
35,285.1
35.5,266.5
36,237.8
36.5,221
37,198.4
37.5,171.9
38,147.9
38.5,121.8
39,115
39.5,97.1
40,85.8
40.5,89.5
41,77.1
41.5,69.2
42,70.8
42.5,76.7
43,124.5
43.5,234.2
44,312.8
44.5,341.8
45,356.8
45.5,358.9
46,371.7
46.5,367.1
47,347.8
47.5,331
48,299.8
48.5,283.4
49,236.2
49.5,227.8
50,208.6
50.5,177.4
51,162.9
51.5,143.3
52,134.3
52.5,118.2
53,113.7
53.5,115
54,114.9
54.5,160
55,251.7
55.5,316
56,340
56.5,380.5
57,401.7
57.5,420.1
58,419.6
58.5,411.8
59,387.4
59.5,378.4
60,357.4
60.5,337.5
61,302.3
61.5,280
62,261.9
62.5,245.5
63,221.3
63.5,201
64,184.3
64.5,175.3
65,169.6
65.5,166.5
66,212.6
66.5,293.9
67,356.3
67.5,366
68,384.8
68.5,422.8
69,465.6
69.5,465.5
70,454.1
70.5,439
71,442.6
71.5,423.2
72,397.1
72.5,376.1
73,356.2
73.5,336.7
74,303
74.5,287.8
75,270.5
75.5,248.2
76,237.9
76.5,228.2
77,236.8
77.5,266.7
78,345.3
78.5,366.9
79,391.1
79.5,422.6
80,465.1
80.5,484.5
81,496
81.5,494.4
82,495.2
82.5,492.5
83,494
83.5,462.4
84,425.5
84.5,428.7
